lista_num,lista_nome,candidato_sindaco_num,candidato_sindaco_nome,candidato_num,candidato_nome
1,Movimento 5 Stelle,1,MANUEL MINERVINI,1,La Forgia Dario
1,Movimento 5 Stelle,1,MANUEL MINERVINI,2,Andriani Simone
1,Movimento 5 Stelle,1,MANUEL MINERVINI,3,Binetti Giovanni Daniele
1,Movimento 5 Stelle,1,MANUEL MINERVINI,4,Cagnetta Felicia
1,Movimento 5 Stelle,1,MANUEL MINERVINI,5,De Candia Fabio
1,Movimento 5 Stelle,1,MANUEL MINERVINI,6,De Gennaro Chiara
1,Movimento 5 Stelle,1,MANUEL MINERVINI,7,De Palma Anna Maria
1,Movimento 5 Stelle,1,MANUEL MINERVINI,8,Del Vescovo Lucia
1,Movimento 5 Stelle,1,MANUEL MINERVINI,9,Di Gioia Alessandra Giovanna
1,Movimento 5 Stelle,1,MANUEL MINERVINI,10,Favuzzi Damiano
1,Movimento 5 Stelle,1,MANUEL MINERVINI,11,Gadaleta Maria Antonia
1,Movimento 5 Stelle,1,MANUEL MINERVINI,12,Germinario Maria
1,Movimento 5 Stelle,1,MANUEL MINERVINI,13,Guarino Valerio
1,Movimento 5 Stelle,1,MANUEL MINERVINI,14,Loiacono Innocente
1,Movimento 5 Stelle,1,MANUEL MINERVINI,15,Mancini Irene
1,Movimento 5 Stelle,1,MANUEL MINERVINI,16,Mezzina Sabina Anna Maria
1,Movimento 5 Stelle,1,MANUEL MINERVINI,17,Montrone Antonella
1,Movimento 5 Stelle,1,MANUEL MINERVINI,18,Pappagallo Alessandra
1,Movimento 5 Stelle,1,MANUEL MINERVINI,19,Piergiovanni Laura
1,Movimento 5 Stelle,1,MANUEL MINERVINI,20,Silvestri Leonardo
1,Movimento 5 Stelle,1,MANUEL MINERVINI,21,Spaccavento Giacomo
1,Movimento 5 Stelle,1,MANUEL MINERVINI,22,Stramaglia Angelo
1,Movimento 5 Stelle,1,MANUEL MINERVINI,23,Tattoli Susanna
1,Movimento 5 Stelle,1,MANUEL MINERVINI,24,Tota Loredana
2,Alleanza Verdi-Sinistra,1,MANUEL MINERVINI,1,Aiello Antonello
2,Alleanza Verdi-Sinistra,1,MANUEL MINERVINI,2,Botta Saverio
2,Alleanza Verdi-Sinistra,1,MANUEL MINERVINI,3,Busetta Carletta Detta Carla
2,Alleanza Verdi-Sinistra,1,MANUEL MINERVINI,4,Cataldo Luigi
2,Alleanza Verdi-Sinistra,1,MANUEL MINERVINI,5,Centrone Federica
2,Alleanza Verdi-Sinistra,1,MANUEL MINERVINI,6,Ciccolella Giuseppe
2,Alleanza Verdi-Sinistra,1,MANUEL MINERVINI,7,Danpha Moustafa
2,Alleanza Verdi-Sinistra,1,MANUEL MINERVINI,8,Davoli Vito
2,Alleanza Verdi-Sinistra,1,MANUEL MINERVINI,9,De Laurentiis Simona
2,Alleanza Verdi-Sinistra,1,MANUEL MINERVINI,10,Di Modugno Leonardo
2,Alleanza Verdi-Sinistra,1,MANUEL MINERVINI,11,Germinario Pantaleo
2,Alleanza Verdi-Sinistra,1,MANUEL MINERVINI,12,Introna Brigida
2,Alleanza Verdi-Sinistra,1,MANUEL MINERVINI,13,Massari Michele
2,Alleanza Verdi-Sinistra,1,MANUEL MINERVINI,14,Pozzolungo Pasquale
2,Alleanza Verdi-Sinistra,1,MANUEL MINERVINI,15,Rana Silvia
2,Alleanza Verdi-Sinistra,1,MANUEL MINERVINI,16,Sallustio Michele
2,Alleanza Verdi-Sinistra,1,MANUEL MINERVINI,17,Sciancalepore Silvana
2,Alleanza Verdi-Sinistra,1,MANUEL MINERVINI,18,Summo Davide
2,Alleanza Verdi-Sinistra,1,MANUEL MINERVINI,19,Tatulli Giulia
2,Alleanza Verdi-Sinistra,1,MANUEL MINERVINI,20,Vilardi Gabriele
3,Demos,1,MANUEL MINERVINI,1,Altamura Filomena Arianna
3,Demos,1,MANUEL MINERVINI,2,Altomare Adriana Isabella
3,Demos,1,MANUEL MINERVINI,3,Belgiovine Adriano
3,Demos,1,MANUEL MINERVINI,4,Caputi Maurilio
3,Demos,1,MANUEL MINERVINI,5,D'angella Michele
3,Demos,1,MANUEL MINERVINI,6,De Fazio Maddalena
3,Demos,1,MANUEL MINERVINI,7,De Leonardis Valentina
3,Demos,1,MANUEL MINERVINI,8,De Pinto Isabella
3,Demos,1,MANUEL MINERVINI,9,De Robertis Giuseppe Marino
3,Demos,1,MANUEL MINERVINI,10,Garofalo Alessia
3,Demos,1,MANUEL MINERVINI,11,Germinario Mirella
3,Demos,1,MANUEL MINERVINI,12,Mazzola Ignazio
3,Demos,1,MANUEL MINERVINI,13,Minervini Domenico
3,Demos,1,MANUEL MINERVINI,14,Pansini Elisabetta
3,Demos,1,MANUEL MINERVINI,15,Panunzio Maria Sara
3,Demos,1,MANUEL MINERVINI,16,Salvemini Giovanna
3,Demos,1,MANUEL MINERVINI,17,Salvemini Graziano Antonio
4,Spazio Riformista (Molfetta Che Vogliamo + Italia Viva + Partito Socialista),1,MANUEL MINERVINI,1,Azzollini Vito
4,Spazio Riformista (Molfetta Che Vogliamo + Italia Viva + Partito Socialista),1,MANUEL MINERVINI,2,Balducci Ottavio
4,Spazio Riformista (Molfetta Che Vogliamo + Italia Viva + Partito Socialista),1,MANUEL MINERVINI,3,Bufi Marianna
4,Spazio Riformista (Molfetta Che Vogliamo + Italia Viva + Partito Socialista),1,MANUEL MINERVINI,4,Caputo Angela Maurina
4,Spazio Riformista (Molfetta Che Vogliamo + Italia Viva + Partito Socialista),1,MANUEL MINERVINI,5,Carnicella Marco
4,Spazio Riformista (Molfetta Che Vogliamo + Italia Viva + Partito Socialista),1,MANUEL MINERVINI,6,Casamassima Domenico
4,Spazio Riformista (Molfetta Che Vogliamo + Italia Viva + Partito Socialista),1,MANUEL MINERVINI,7,Cassano Daniele Giacomo
4,Spazio Riformista (Molfetta Che Vogliamo + Italia Viva + Partito Socialista),1,MANUEL MINERVINI,8,De Bari Vito
4,Spazio Riformista (Molfetta Che Vogliamo + Italia Viva + Partito Socialista),1,MANUEL MINERVINI,9,De Candia Alfredo Antonio
4,Spazio Riformista (Molfetta Che Vogliamo + Italia Viva + Partito Socialista),1,MANUEL MINERVINI,10,De Candia Onofrio
4,Spazio Riformista (Molfetta Che Vogliamo + Italia Viva + Partito Socialista),1,MANUEL MINERVINI,11,De Cesare Annamaria
4,Spazio Riformista (Molfetta Che Vogliamo + Italia Viva + Partito Socialista),1,MANUEL MINERVINI,12,De Felice Antonio Massimiliano
4,Spazio Riformista (Molfetta Che Vogliamo + Italia Viva + Partito Socialista),1,MANUEL MINERVINI,13,De Gioia Maria
4,Spazio Riformista (Molfetta Che Vogliamo + Italia Viva + Partito Socialista),1,MANUEL MINERVINI,14,Di Vona Ludovica
4,Spazio Riformista (Molfetta Che Vogliamo + Italia Viva + Partito Socialista),1,MANUEL MINERVINI,15,Lisena Corrado
4,Spazio Riformista (Molfetta Che Vogliamo + Italia Viva + Partito Socialista),1,MANUEL MINERVINI,16,Magarelli Rosanna
4,Spazio Riformista (Molfetta Che Vogliamo + Italia Viva + Partito Socialista),1,MANUEL MINERVINI,17,Manzoni Cosimo
4,Spazio Riformista (Molfetta Che Vogliamo + Italia Viva + Partito Socialista),1,MANUEL MINERVINI,18,Mastrangelo Cinzia
4,Spazio Riformista (Molfetta Che Vogliamo + Italia Viva + Partito Socialista),1,MANUEL MINERVINI,19,Mastropasqua Silvia
4,Spazio Riformista (Molfetta Che Vogliamo + Italia Viva + Partito Socialista),1,MANUEL MINERVINI,20,Minervini Giuseppina (detta Pina)
4,Spazio Riformista (Molfetta Che Vogliamo + Italia Viva + Partito Socialista),1,MANUEL MINERVINI,21,Rizzi Rosa
4,Spazio Riformista (Molfetta Che Vogliamo + Italia Viva + Partito Socialista),1,MANUEL MINERVINI,22,Samarelli Lucia Rosa
4,Spazio Riformista (Molfetta Che Vogliamo + Italia Viva + Partito Socialista),1,MANUEL MINERVINI,23,Siragusa Leonardo
5,Rifondazione Comunista,1,MANUEL MINERVINI,1,Abbattista Emanuele
5,Rifondazione Comunista,1,MANUEL MINERVINI,2,Albertini Gian Michele
5,Rifondazione Comunista,1,MANUEL MINERVINI,3,Altamura Emiliano
5,Rifondazione Comunista,1,MANUEL MINERVINI,4,Armenio Giovanni Battista
5,Rifondazione Comunista,1,MANUEL MINERVINI,5,Binetti Roberta
5,Rifondazione Comunista,1,MANUEL MINERVINI,6,De Bari Silvana
5,Rifondazione Comunista,1,MANUEL MINERVINI,7,De Candia Pasquale
5,Rifondazione Comunista,1,MANUEL MINERVINI,8,De Ceglia Sergio
5,Rifondazione Comunista,1,MANUEL MINERVINI,9,Drago Salvatore
5,Rifondazione Comunista,1,MANUEL MINERVINI,10,Fasciano Maria
5,Rifondazione Comunista,1,MANUEL MINERVINI,11,Infante Giovanni
5,Rifondazione Comunista,1,MANUEL MINERVINI,12,Innominato Andrea
5,Rifondazione Comunista,1,MANUEL MINERVINI,13,Lumaj Mirsada
5,Rifondazione Comunista,1,MANUEL MINERVINI,14,Maselli Giacomo
5,Rifondazione Comunista,1,MANUEL MINERVINI,15,Minervini Alessandra
5,Rifondazione Comunista,1,MANUEL MINERVINI,16,Minervini Mario Francesco
5,Rifondazione Comunista,1,MANUEL MINERVINI,17,Porcelli Giovanni
5,Rifondazione Comunista,1,MANUEL MINERVINI,18,Sasso Corrado Antonio
5,Rifondazione Comunista,1,MANUEL MINERVINI,19,Sciancalepore Massimo
5,Rifondazione Comunista,1,MANUEL MINERVINI,20,Scuccimarro Onofrio
5,Rifondazione Comunista,1,MANUEL MINERVINI,21,Spadavecchia Isabella
5,Rifondazione Comunista,1,MANUEL MINERVINI,22,Ventura Carmen
5,Rifondazione Comunista,1,MANUEL MINERVINI,23,Zanna Giuseppe
5,Rifondazione Comunista,1,MANUEL MINERVINI,24,Zaza Paola
6,Rinascere,1,MANUEL MINERVINI,1,Minervini Corrado
6,Rinascere,1,MANUEL MINERVINI,2,Allegretta Filomena Daniela
6,Rinascere,1,MANUEL MINERVINI,3,Altamura Alessandra Luigia
6,Rinascere,1,MANUEL MINERVINI,4,Altamura Elisabetta
6,Rinascere,1,MANUEL MINERVINI,5,Camporeale Ignazio
6,Rinascere,1,MANUEL MINERVINI,6,De Candia Modesto
6,Rinascere,1,MANUEL MINERVINI,7,De Trizio Feliciana
6,Rinascere,1,MANUEL MINERVINI,8,Failli Adriano
6,Rinascere,1,MANUEL MINERVINI,9,Gagliardi Annamaria Fabrizia Detta Annamaria
6,Rinascere,1,MANUEL MINERVINI,10,Jacono Michele Massimo Riccardo
6,Rinascere,1,MANUEL MINERVINI,11,La Grasta Marianna
6,Rinascere,1,MANUEL MINERVINI,12,La Grasta Roberto
6,Rinascere,1,MANUEL MINERVINI,13,Petruzzella Andrea
6,Rinascere,1,MANUEL MINERVINI,14,Sagliano Amelia
6,Rinascere,1,MANUEL MINERVINI,15,Sallustio Cosimo Roberto
6,Rinascere,1,MANUEL MINERVINI,16,Scardigno Laura
6,Rinascere,1,MANUEL MINERVINI,17,Sgherza Francesco
6,Rinascere,1,MANUEL MINERVINI,18,Spadavecchia Teresa Ester
6,Rinascere,1,MANUEL MINERVINI,19,Andraos Rita
6,Rinascere,1,MANUEL MINERVINI,20,De Gennaro Domenico
6,Rinascere,1,MANUEL MINERVINI,21,Catanzaro Michele
6,Rinascere,1,MANUEL MINERVINI,22,Mongelli Mauro
6,Rinascere,1,MANUEL MINERVINI,23,De Vincenzo Michi
6,Rinascere,1,MANUEL MINERVINI,24,Cassano Anna Maria
7,Più Di Così - Minervini Sindaco,1,MANUEL MINERVINI,1,Adesso Maria Serena
7,Più Di Così - Minervini Sindaco,1,MANUEL MINERVINI,2,Andriani Gianluca
7,Più Di Così - Minervini Sindaco,1,MANUEL MINERVINI,3,Argentiere Silvia
7,Più Di Così - Minervini Sindaco,1,MANUEL MINERVINI,4,Bellifemine Miriana
7,Più Di Così - Minervini Sindaco,1,MANUEL MINERVINI,5,Bufi Cosimo
7,Più Di Così - Minervini Sindaco,1,MANUEL MINERVINI,6,Bufi Giordano Mauro Domenico
7,Più Di Così - Minervini Sindaco,1,MANUEL MINERVINI,7,Campo Angelantonio
7,Più Di Così - Minervini Sindaco,1,MANUEL MINERVINI,8,Carabellese Marilena
7,Più Di Così - Minervini Sindaco,1,MANUEL MINERVINI,9,Ciannamea Patrizia
7,Più Di Così - Minervini Sindaco,1,MANUEL MINERVINI,10,De Ruvo Giada Maria Anna
7,Più Di Così - Minervini Sindaco,1,MANUEL MINERVINI,11,De Virgilio Damiano
7,Più Di Così - Minervini Sindaco,1,MANUEL MINERVINI,12,Gervasio Carlo Maria
7,Più Di Così - Minervini Sindaco,1,MANUEL MINERVINI,13,Mastropasqua Valentina
7,Più Di Così - Minervini Sindaco,1,MANUEL MINERVINI,14,Minutillo Ettore
7,Più Di Così - Minervini Sindaco,1,MANUEL MINERVINI,15,Molla Alessia
7,Più Di Così - Minervini Sindaco,1,MANUEL MINERVINI,16,Paparella Gabriele
7,Più Di Così - Minervini Sindaco,1,MANUEL MINERVINI,17,Pisani Francesco
7,Più Di Così - Minervini Sindaco,1,MANUEL MINERVINI,18,Poli Nicola Fortunato
7,Più Di Così - Minervini Sindaco,1,MANUEL MINERVINI,19,Porcelli Vincenzo
7,Più Di Così - Minervini Sindaco,1,MANUEL MINERVINI,20,Racanati Teresa
7,Più Di Così - Minervini Sindaco,1,MANUEL MINERVINI,21,Savelli Loredana
7,Più Di Così - Minervini Sindaco,1,MANUEL MINERVINI,22,Spagnoletta Clara
7,Più Di Così - Minervini Sindaco,1,MANUEL MINERVINI,23,Vacca Antonio
7,Più Di Così - Minervini Sindaco,1,MANUEL MINERVINI,24,Zanzarella Ivano
8,Partito Democratico,1,MANUEL MINERVINI,1,Aloisio Alessandro
8,Partito Democratico,1,MANUEL MINERVINI,2,Altomare Anna Elisabetta
8,Partito Democratico,1,MANUEL MINERVINI,3,Angeletti Fedele
8,Partito Democratico,1,MANUEL MINERVINI,4,Annese Luigi
8,Partito Democratico,1,MANUEL MINERVINI,5,Annese Vincenza
8,Partito Democratico,1,MANUEL MINERVINI,6,Bartoli Maria Angela
8,Partito Democratico,1,MANUEL MINERVINI,7,Calvani Giulio Maria
8,Partito Democratico,1,MANUEL MINERVINI,8,Capurso Pietro
8,Partito Democratico,1,MANUEL MINERVINI,9,Coppolecchia Maria
8,Partito Democratico,1,MANUEL MINERVINI,10,Daliani Poli Paola Elisabetta
8,Partito Democratico,1,MANUEL MINERVINI,11,De Gennaro Rossana
8,Partito Democratico,1,MANUEL MINERVINI,12,De Leo Giuseppe
8,Partito Democratico,1,MANUEL MINERVINI,13,De Musso Simonetta
8,Partito Democratico,1,MANUEL MINERVINI,14,De Nichilo Lucia
8,Partito Democratico,1,MANUEL MINERVINI,15,Farinola Vito
8,Partito Democratico,1,MANUEL MINERVINI,16,Franzese Nicola
8,Partito Democratico,1,MANUEL MINERVINI,17,Grosso Guglielmo
8,Partito Democratico,1,MANUEL MINERVINI,18,Marzano Donato
8,Partito Democratico,1,MANUEL MINERVINI,19,Mastropasqua Vincenzo
8,Partito Democratico,1,MANUEL MINERVINI,20,Mastropierro Patrizia
8,Partito Democratico,1,MANUEL MINERVINI,21,Piccininni Vincenza
8,Partito Democratico,1,MANUEL MINERVINI,22,Ruggiero Domenico
8,Partito Democratico,1,MANUEL MINERVINI,23,Sinisi Antonio
8,Partito Democratico,1,MANUEL MINERVINI,24,Spadavecchia Laura
9,Pietro Mastropasqua Sindaco,2,PIETRO MASTROPASQUA,1,Abbasciano Marcella
9,Pietro Mastropasqua Sindaco,2,PIETRO MASTROPASQUA,2,Bufo Consiglia
9,Pietro Mastropasqua Sindaco,2,PIETRO MASTROPASQUA,3,Campo Federica Ida
9,Pietro Mastropasqua Sindaco,2,PIETRO MASTROPASQUA,4,Capurso Anna
9,Pietro Mastropasqua Sindaco,2,PIETRO MASTROPASQUA,5,Cioce Vincenzo
9,Pietro Mastropasqua Sindaco,2,PIETRO MASTROPASQUA,6,De Bari Lucia
9,Pietro Mastropasqua Sindaco,2,PIETRO MASTROPASQUA,7,De Candia Sergio
9,Pietro Mastropasqua Sindaco,2,PIETRO MASTROPASQUA,8,De Gennaro Gaia
9,Pietro Mastropasqua Sindaco,2,PIETRO MASTROPASQUA,9,De Gioia Onofrio
9,Pietro Mastropasqua Sindaco,2,PIETRO MASTROPASQUA,10,De Pinto Antonia
9,Pietro Mastropasqua Sindaco,2,PIETRO MASTROPASQUA,11,Fasciano Angela Maria
9,Pietro Mastropasqua Sindaco,2,PIETRO MASTROPASQUA,12,Giancaspro Giuseppe Giorgio
9,Pietro Mastropasqua Sindaco,2,PIETRO MASTROPASQUA,13,Marzocca Anna Grazia
9,Pietro Mastropasqua Sindaco,2,PIETRO MASTROPASQUA,14,Masielli Nicola
9,Pietro Mastropasqua Sindaco,2,PIETRO MASTROPASQUA,15,Parisi Raffaele
9,Pietro Mastropasqua Sindaco,2,PIETRO MASTROPASQUA,16,Picca Cosimo Damiano
9,Pietro Mastropasqua Sindaco,2,PIETRO MASTROPASQUA,17,Petruzzella Mauro
9,Pietro Mastropasqua Sindaco,2,PIETRO MASTROPASQUA,18,Petruzzella Nicolò Pio
9,Pietro Mastropasqua Sindaco,2,PIETRO MASTROPASQUA,19,Pignatelli Maria Giuseppa
9,Pietro Mastropasqua Sindaco,2,PIETRO MASTROPASQUA,20,Porta Giovanni
9,Pietro Mastropasqua Sindaco,2,PIETRO MASTROPASQUA,21,Scardicchio Daniele
9,Pietro Mastropasqua Sindaco,2,PIETRO MASTROPASQUA,22,Silvestri Roberta
9,Pietro Mastropasqua Sindaco,2,PIETRO MASTROPASQUA,23,Vista Leonardo
9,Pietro Mastropasqua Sindaco,2,PIETRO MASTROPASQUA,24,Vitulano Vincenzo
10,Ala Democratica,2,PIETRO MASTROPASQUA,1,Murolo Adriana
10,Ala Democratica,2,PIETRO MASTROPASQUA,2,Grieco Anna Lorena
10,Ala Democratica,2,PIETRO MASTROPASQUA,3,Cardillo Antonio
10,Ala Democratica,2,PIETRO MASTROPASQUA,4,Sancilio Corrado
10,Ala Democratica,2,PIETRO MASTROPASQUA,5,Roselli Caterina
10,Ala Democratica,2,PIETRO MASTROPASQUA,6,Minervini Cosima
10,Ala Democratica,2,PIETRO MASTROPASQUA,7,Petroni Costanza
10,Ala Democratica,2,PIETRO MASTROPASQUA,8,Minervini Dario
10,Ala Democratica,2,PIETRO MASTROPASQUA,9,Amato Eliana
10,Ala Democratica,2,PIETRO MASTROPASQUA,10,Colasuonno Elisa
10,Ala Democratica,2,PIETRO MASTROPASQUA,11,Balice Francesco
10,Ala Democratica,2,PIETRO MASTROPASQUA,12,Cosmai Gianluca
10,Ala Democratica,2,PIETRO MASTROPASQUA,13,Tota Giovanni
10,Ala Democratica,2,PIETRO MASTROPASQUA,14,Zaza Giuseppina
10,Ala Democratica,2,PIETRO MASTROPASQUA,15,Cappelluti Isabella
10,Ala Democratica,2,PIETRO MASTROPASQUA,16,Ricchitelli Lucia
10,Ala Democratica,2,PIETRO MASTROPASQUA,17,Cappelluti Maria
10,Ala Democratica,2,PIETRO MASTROPASQUA,18,De Candia Maria Donatella
10,Ala Democratica,2,PIETRO MASTROPASQUA,19,Sciancalepore Marianna
10,Ala Democratica,2,PIETRO MASTROPASQUA,20,Rizzi Nunzia Indira
10,Ala Democratica,2,PIETRO MASTROPASQUA,21,Laci Ristana
10,Ala Democratica,2,PIETRO MASTROPASQUA,22,De Pinto Pantaleo
10,Ala Democratica,2,PIETRO MASTROPASQUA,23,Chiarella Rosa
10,Ala Democratica,2,PIETRO MASTROPASQUA,24,Paparella Vito Corrado
11,Avanti Molfetta,2,PIETRO MASTROPASQUA,1,Amato Maria Paola
11,Avanti Molfetta,2,PIETRO MASTROPASQUA,2,Brio Elena
11,Avanti Molfetta,2,PIETRO MASTROPASQUA,3,Cannarozzo Giuseppe
11,Avanti Molfetta,2,PIETRO MASTROPASQUA,4,Cantatore Arianna
11,Avanti Molfetta,2,PIETRO MASTROPASQUA,5,De Bari Giuseppe
11,Avanti Molfetta,2,PIETRO MASTROPASQUA,6,De Candia Antonio
11,Avanti Molfetta,2,PIETRO MASTROPASQUA,7,De Gennaro Maria
11,Avanti Molfetta,2,PIETRO MASTROPASQUA,8,Del Vescovo Donatella Anna
11,Avanti Molfetta,2,PIETRO MASTROPASQUA,9,De Musso Tommaso
11,Avanti Molfetta,2,PIETRO MASTROPASQUA,10,De Nichilo Pasquale
